"year","month","time","sunspots","sd","no","final","ts"
1780,8,"1780-8-15 00:00:00",143.3,-1,-1,1,1780.62
1780,9,"1780-9-15 00:00:00",156.2,-1,-1,1,1780.71
1780,10,"1780-10-15 00:00:00",128.3,-1,-1,1,1780.79
1780,11,"1780-11-15 00:00:00",100,-1,-1,1,1780.88
1780,12,"1780-12-15 00:00:00",97.8,-1,-1,1,1780.96
1781,1,"1781-1-15 00:00:00",164.5,-1,-1,1,1781.04
1781,2,"1781-2-15 00:00:00",124.5,-1,-1,1,1781.12
1781,3,"1781-3-15 00:00:00",88.3,-1,-1,1,1781.21
1781,4,"1781-4-15 00:00:00",113.8,-1,-1,1,1781.29
1781,5,"1781-5-15 00:00:00",174.5,-1,-1,1,1781.38
